family型号,capacity容量,Mtl材质,安装方式,Y值,AC准确度等级,IP防护等级,EX防爆等级,安装孔距,Seal密封方式,线制
AWB,100,CS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWB,200,CS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWB,500,CS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWB,1000,CS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWB,2000,CS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWB,3000,CS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWB,5000,CS,盲孔安装,6666,C3,IP68,0,38.1,NA,4
AWB,100,CS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWB,200,CS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWB,500,CS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWB,1000,CS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWB,2000,CS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWB,3000,CS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWB,5000,CS,盲孔安装,6666,C3,IP68,IICT4,38.1,NA,4
AWBS,100,SS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWBS,200,SS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWBS,500,SS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWBS,1000,SS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWBS,2000,SS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWBS,3000,SS,盲孔安装,6666,C3,IP68,0,25.4,NA,4
AWBS,5000,SS,盲孔安装,6666,C3,IP68,0,38.1,NA,4
AWBS,100,SS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWBS,200,SS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWBS,500,SS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWBS,1000,SS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWBS,2000,SS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWBS,3000,SS,盲孔安装,6666,C3,IP68,IICT4,25.4,NA,4
AWBS,5000,SS,盲孔安装,6666,C3,IP68,IICT4,38.1,NA,4
AWD,5000,SS,0,6666,C3,IP68,0,89,激光封焊,4
AWD,7500,SS,0,6666,C3,IP68,0,89,激光封焊,4
AWD,10000,SS,0,6666,C3,IP68,0,89,激光封焊,4
AWD,15000,SS,0,6666,C3,IP68,0,89,激光封焊,4
AWD,20000,SS,0,6666,C3,IP68,0,89,激光封焊,4
AWD,22500,SS,0,6666,C3,IP68,0,89,激光封焊,4
AWD,30000,SS,0,6666,C3,IP68,0,140,激光封焊,4
AWD,40000,SS,0,6666,C3,IP68,0,150,激光封焊,4
AWD,50000,SS,0,6666,C3,IP68,0,178,激光封焊,4
AWD,100000,SS,0,6666,C3,IP68,0,178,激光封焊,4
AWD,5000,SS,0,6666,C3,IP68,IICT4,89,激光封焊,4
AWD,7500,SS,0,6666,C3,IP68,IICT4,89,激光封焊,4
AWD,10000,SS,0,6666,C3,IP68,IICT4,89,激光封焊,4
AWD,15000,SS,0,6666,C3,IP68,IICT4,89,激光封焊,4
AWD,20000,SS,0,6666,C3,IP68,IICT4,89,激光封焊,4
AWD,22500,SS,0,6666,C3,IP68,IICT4,89,激光封焊,4
AWD,30000,SS,0,6666,C3,IP68,IICT4,140,激光封焊,4
AWD,40000,SS,0,6666,C3,IP68,IICT4,150,激光封焊,4
AWD,50000,SS,0,6666,C3,IP68,IICT4,178,激光封焊,4
AWD,100000,SS,0,6666,C3,IP68,IICT4,178,激光封焊,4
AWC,10,SS,盲孔安装,6666,C3,IP68,0,18,激光封焊,4
AWC,20,SS,盲孔安装,6666,C3,IP68,0,18,激光封焊,4
AWC,50,SS,盲孔安装,6666,C3,IP68,0,18,激光封焊,4
AWC,100,SS,盲孔安装,6666,C3,IP68,0,18,激光封焊,4
AWC,200,SS,盲孔安装,6666,C3,IP68,0,18,激光封焊,4
AWC,250,SS,盲孔安装,6666,C3,IP68,0,18,激光封焊,4
AWC,500,SS,盲孔安装,6666,C3,IP68,0,18,激光封焊,4
AWC,10,SS,盲孔安装,6666,C3,IP68,IICT4,18,激光封焊,4
AWC,20,SS,盲孔安装,6666,C3,IP68,IICT4,18,激光封焊,4
AWC,50,SS,盲孔安装,6666,C3,IP68,IICT4,18,激光封焊,4
AWC,100,SS,盲孔安装,6666,C3,IP68,IICT4,18,激光封焊,4
AWC,200,SS,盲孔安装,6666,C3,IP68,IICT4,18,激光封焊,4
AWC,250,SS,盲孔安装,6666,C3,IP68,IICT4,18,激光封焊,4
AWC,500,SS,盲孔安装,6666,C3,IP68,IICT4,18,激光封焊,4
