brand,family,nickname,model_full,com_1,com_2,com_3,安装方式,支架,power,语言,防爆等级,安全栅,信号协议
FAB,FAB330,3300,FAB3300PL10000D,RTU_1,0,0,面板式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300PL1AG00D,RTU_1,ANALOG,0,面板式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300PL1TP00D,RTU_1,TCP,0,面板式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300PL1DP00D,RTU_1,DP,0,面板式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300PL1PN00D,RTU_1,PROFINET,0,面板式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300PL1EP00D,RTU_1,IP,0,面板式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300EL10000D,RTU_1,0,0,隔爆,0,DC24V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1AG00D,RTU_1,ANALOG,0,隔爆,0,DC24V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1TP00D,RTU_1,TCP,0,隔爆,0,DC24V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1DP00D,RTU_1,DP,0,隔爆,0,DC24V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1PN00D,RTU_1,PROFINET,0,隔爆,0,DC24V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1EP00D,RTU_1,IP,0,隔爆,0,DC24V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1005D,RTU_1,0,0,隔爆,0,DC24V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1AG05D,RTU_1,ANALOG,0,隔爆,0,DC24V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1TP05D,RTU_1,TCP,0,隔爆,0,DC24V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1DP05D,RTU_1,DP,0,隔爆,0,DC24V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1PN05D,RTU_1,PROFINET,0,隔爆,0,DC24V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1EP05D,RTU_1,IP,0,隔爆,0,DC24V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL10000A,RTU_1,0,0,隔爆,0,AC220V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1AG00A,RTU_1,ANALOG,0,隔爆,0,AC220V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1TP00A,RTU_1,TCP,0,隔爆,0,AC220V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1DP00A,RTU_1,DP,0,隔爆,0,AC220V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1PN00A,RTU_1,PROFINET,0,隔爆,0,AC220V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL1EP00A,RTU_1,IP,0,隔爆,0,AC220V,中文|英文,IIBT6,0,A
FAB,FAB330,3300,FAB3300EL10005A,RTU_1,0,0,隔爆,0,AC220V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1AG05A,RTU_1,ANALOG,0,隔爆,0,AC220V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1TP05A,RTU_1,TCP,0,隔爆,0,AC220V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1DP05A,RTU_1,DP,0,隔爆,0,AC220V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1PN05A,RTU_1,PROFINET,0,隔爆,0,AC220V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300EL1EP05A,RTU_1,IP,0,隔爆,0,AC220V,中文|英文,IIBT6,110-5,A
FAB,FAB330,3300,FAB3300HL10000A,RTU_1,0,0,隔爆,0,AC220V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300HL1AG00A,RTU_1,ANALOG,0,隔爆,0,AC220V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300HL1TP00A,RTU_1,TCP,0,防尘式,0,AC220V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300HL1DP00A,RTU_1,DP,0,防尘式,0,AC220V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300HL1PN00A,RTU_1,PROFINET,0,防尘式,0,AC220V,中文|英文,0,0,A
FAB,FAB330,3300,FAB3300HL1EP00A,RTU_1,DP,0,防尘式,0,AC220V,中文|英文,0,0,A
FAB,FAB330,3306,FAB3306D010000D,RTU_2,0,1,导轨式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3306,FAB3306D01AG00D,RTU_2,ANALOG,1,导轨式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3306,FAB3306D01TP00D,RTU_2,TCP,0,导轨式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3306,FAB3306D01DP00D,RTU_2,DP,0,导轨式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3306,FAB3306D01PN00D,RTU_2,PROFINET,0,导轨式,0,DC24V,中文|英文,0,0,A
FAB,FAB330,3306,FAB3306D01EP00D,RTU_2,IP,0,导轨式,0,DC24V,中文|英文,0,0,A
