brand,family,nickname,model_full,com_1,com_2,com_3,语言,安装方式,支架,power,防爆等级,外壳,信号协议
FT,FT-210,210,FT210PA000000A,RTU_2,0,0,中文,面板式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210PA100000A,RTU_2,TCP|UDP,0,中文,面板式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210PA0A0000A,RTU_2,ANALOG,0,中文,面板式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210PA00E000A,RTU_2,IP,0,中文,面板式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210PA00F000A,RTU_2,PROFINET,0,中文,面板式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210PA00P000A,RTU_2,DP,0,中文,面板式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210PA000000D,RTU_2,0,0,中文,面板式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210PA100000D,RTU_2,TCP|UDP,0,中文,面板式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210PA0A0000D,RTU_2,ANALOG,0,中文,面板式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210PA00E000D,RTU_2,IP,0,中文,面板式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210PA00F000D,RTU_2,PROFINET,0,中文,面板式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210PA00P000D,RTU_2,DP,0,中文,面板式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210DA000000D,RTU_2,0,0,中文,导轨式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210DA100000D,RTU_2,TCP|UDP,0,中文,导轨式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210DA0A0000D,RTU_2,ANALOG,0,中文,导轨式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210DA00E000D,RTU_2,IP,0,中文,导轨式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210DA00F000D,RTU_2,PROFINET,0,中文,导轨式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210DA00P000D,RTU_2,DP,0,中文,导轨式,壁挂支架,DC24V,0,0,A
FT,FT-210,210,FT210HA000010A,RTU_2,0,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA100010A,RTU_2,TCP|UDP,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA0A0010A,RTU_2,ANALOG,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00E010A,RTU_2,IP,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00F010A,RTU_2,PROFINET,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00P010A,RTU_2,DP,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA000020A,RTU_2,0,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA100020A,RTU_2,TCP|UDP,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA0A0020A,RTU_2,ANALOG,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00E020A,RTU_2,IP,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00F020A,RTU_2,PROFINET,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00P020A,RTU_2,DP,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA000000A,RTU_2,0,0,中文,防尘式,壁挂支架,AC220V,0,0,A
