具体型号,型批型号,品牌,kg量程,台面尺寸,材质,细分品种,防爆,g分度值
FTBR-C-003-2430,TCS-3kg,FT,3,240x300,C,电子台秤,0,1
FTBR-S-003-2430,TCS-3kg,FT,3,240x300,S,电子台秤,0,1
FTBR-HC-003-2430,TCS-3kg,FT,3,240x300,HC,高精度电子台秤,0,0.5
FTBR-HS-003-2430,TCS-3kg,FT,3,240x300,HS,高精度电子台秤,0,0.5
FTBR-C-003-3040,TCS-3kg,FT,3,300x400,C,电子台秤,0,1
FTBR-S-003-3040,TCS-3kg,FT,3,300x400,S,电子台秤,0,1
FTBR-HC-003-3040,TCS-3kg,FT,3,300x400,HC,高精度电子台秤,0,0.5
FTBR-HS-003-3040,TCS-3kg,FT,3,300x400,HS,高精度电子台秤,0,0.5
FTBR-C-003-2430-E,TCS-3kg EX,FT,3,240x300,C,电子台秤,1,1
FTBR-S-003-2430-E,TCS-3kg EX,FT,3,240x300,S,电子台秤,1,1
FTBR-HC-003-2430-E,TCS-3kg EX,FT,3,240x300,HC,高精度电子台秤,1,0.5
FTBR-HS-003-2430-E,TCS-3kg EX,FT,3,240x300,HS,高精度电子台秤,1,0.5
FTBR-C-003-3040-E,TCS-3kg EX,FT,3,300x400,C,电子台秤,1,1
FTBR-S-003-3040-E,TCS-3kg EX,FT,3,300x400,S,电子台秤,1,1
FTBR-HC-003-3040-E,TCS-3kg EX,FT,3,300x400,HC,高精度电子台秤,1,0.5
FTBR-HS-003-3040-E,TCS-3kg EX,FT,3,300x400,HS,高精度电子台秤,1,0.5
FTBR-C-006-2430,TCS-6kg,FT,6,240x300,C,电子台秤,0,2
FTBR-S-006-2430,TCS-6kg,FT,6,240x300,S,电子台秤,0,2
FTBR-HC-006-2430,TCS-6kg,FT,6,240x300,HC,高精度电子台秤,0,1
FTBR-HS-006-2430,TCS-6kg,FT,6,240x300,HS,高精度电子台秤,0,1
FTBR-C-006-3040,TCS-6kg,FT,6,300x400,C,电子台秤,0,2
FTBR-S-006-3040,TCS-6kg,FT,6,300x400,S,电子台秤,0,2
FTBR-HC-006-3040,TCS-6kg,FT,6,300x400,HC,高精度电子台秤,0,1
FTBR-HS-006-3040,TCS-6kg,FT,6,300x400,HS,高精度电子台秤,0,1
FTBR-C-006-2430-E,TCS-6kg EX,FT,6,240x300,C,电子台秤,1,2
FTBR-S-006-2430-E,TCS-6kg EX,FT,6,240x300,S,电子台秤,1,2
FTBR-HC-006-2430-E,TCS-6kg EX,FT,6,240x300,HC,高精度电子台秤,1,1
FTBR-HS-006-2430-E,TCS-6kg EX,FT,6,240x300,HS,高精度电子台秤,1,1
FTBR-C-006-3040-E,TCS-6kg EX,FT,6,300x400,C,电子台秤,1,2
FTBR-S-006-3040-E,TCS-6kg EX,FT,6,300x400,S,电子台秤,1,2
FTBR-HC-006-3040-E,TCS-6kg EX,FT,6,300x400,HC,高精度电子台秤,1,1
FTBR-HS-006-3040-E,TCS-6kg EX,FT,6,300x400,HS,高精度电子台秤,1,1
FTBR-C-015-2430,TCS-15kg,FT,15,240x300,C,电子台秤,0,5
FTBR-S-015-2430,TCS-15kg,FT,15,240x300,S,电子台秤,0,5
FTBR-HC-015-2430,TCS-15kg,FT,15,240x300,HC,高精度电子台秤,0,2
FTBR-HS-015-2430,TCS-15kg,FT,15,240x300,HS,高精度电子台秤,0,2
FTBR-C-015-3040,TCS-15kg,FT,15,300x400,C,电子台秤,0,5
FTBR-S-015-3040,TCS-15kg,FT,15,300x400,S,电子台秤,0,5
FTBR-HC-015-3040,TCS-15kg,FT,15,300x400,HC,高精度电子台秤,0,2
FTBR-HS-015-3040,TCS-15kg,FT,15,300x400,HS,高精度电子台秤,0,2
FTBR-C-015-2430-E,TCS-15kg EX,FT,15,240x300,C,电子台秤,1,5
FTBR-S-015-2430-E,TCS-15kg EX,FT,15,240x300,S,电子台秤,1,5
FTBR-HC-015-2430-E,TCS-15kg EX,FT,15,240x300,HC,高精度电子台秤,1,2
FTBR-HS-015-2430-E,TCS-15kg EX,FT,15,240x300,HS,高精度电子台秤,1,2
FTBR-C-015-3040-E,TCS-15kg EX,FT,15,300x400,C,电子台秤,1,5
FTBR-S-015-3040-E,TCS-15kg EX,FT,15,300x400,S,电子台秤,1,5
FTBR-HC-015-3040-E,TCS-15kg EX,FT,15,300x400,HC,高精度电子台秤,1,2
FTBR-HS-015-3040-E,TCS-15kg EX,FT,15,300x400,HS,高精度电子台秤,1,2
FTBR-C-030-2430,TCS-30kg,FT,30,240x300,C,电子台秤,0,10
FTBR-S-030-2430,TCS-30kg,FT,30,240x300,S,电子台秤,0,10
FTBR-HC-030-2430,TCS-30kg,FT,30,240x300,HC,高精度电子台秤,0,5
FTBR-HS-030-2430,TCS-30kg,FT,30,240x300,HS,高精度电子台秤,0,5
FTBR-C-030-3040,TCS-30kg,FT,30,300x400,C,电子台秤,0,10
FTBR-S-030-3040,TCS-30kg,FT,30,300x400,S,电子台秤,0,10
FTBR-HC-030-3040,TCS-30kg,FT,30,300x400,HC,高精度电子台秤,0,5
FTBR-HS-030-3040,TCS-30kg,FT,30,300x400,HS,高精度电子台秤,0,5
FTBR-C-030-4050,TCS-30kg,FT,30,400x500,C,电子台秤,0,10
FTBR-S-030-4050,TCS-30kg,FT,30,400x500,S,电子台秤,0,10
FTBR-HC-030-4050,TCS-30kg,FT,30,400x500,HC,高精度电子台秤,0,5
FTBR-HS-030-4050,TCS-30kg,FT,30,400x500,HS,高精度电子台秤,0,5
FTBR-C-030-4660,TCS-30kg,FT,30,460x600,C,电子台秤,0,10
FTBR-S-030-4660,TCS-30kg,FT,30,460x600,S,电子台秤,0,10
FTBR-HC-030-4660,TCS-30kg,FT,30,460x600,HC,高精度电子台秤,0,5
FTBR-HS-030-4660,TCS-30kg,FT,30,460x600,HS,高精度电子台秤,0,5
FTBR-C-030-5060,TCS-30kg,FT,30,500x600,C,电子台秤,0,10
FTBR-S-030-5060,TCS-30kg,FT,30,500x600,S,电子台秤,0,10
FTBR-HC-030-5060,TCS-30kg,FT,30,500x600,HC,高精度电子台秤,0,5
FTBR-HS-030-5060,TCS-30kg,FT,30,500x600,HS,高精度电子台秤,0,5
FTBR-C-030-2430-E,TCS-30kg EX,FT,30,240x300,C,电子台秤,1,10
FTBR-S-030-2430-E,TCS-30kg EX,FT,30,240x300,S,电子台秤,1,10
FTBR-HC-030-2430-E,TCS-30kg EX,FT,30,240x300,HC,高精度电子台秤,1,5
FTBR-HS-030-2430-E,TCS-30kg EX,FT,30,240x300,HS,高精度电子台秤,1,5
FTBR-C-030-3040-E,TCS-30kg EX,FT,30,300x400,C,电子台秤,1,10
FTBR-S-030-3040-E,TCS-30kg EX,FT,30,300x400,S,电子台秤,1,10
FTBR-HC-030-3040-E,TCS-30kg EX,FT,30,300x400,HC,高精度电子台秤,1,5
FTBR-HS-030-3040-E,TCS-30kg EX,FT,30,300x400,HS,高精度电子台秤,1,5
FTBR-C-030-4050-E,TCS-30kg EX,FT,30,400x500,C,电子台秤,1,10
FTBR-S-030-4050-E,TCS-30kg EX,FT,30,400x500,S,电子台秤,1,10
FTBR-HC-030-4050-E,TCS-30kg EX,FT,30,400x500,HC,高精度电子台秤,1,5
FTBR-HS-030-4050-E,TCS-30kg EX,FT,30,400x500,HS,高精度电子台秤,1,5
FTBR-C-030-4660-E,TCS-30kg EX,FT,30,460x600,C,电子台秤,1,10
FTBR-S-030-4660-E,TCS-30kg EX,FT,30,460x600,S,电子台秤,1,10
FTBR-HC-030-4660-E,TCS-30kg EX,FT,30,460x600,HC,高精度电子台秤,1,5
FTBR-HS-030-4660-E,TCS-30kg EX,FT,30,460x600,HS,高精度电子台秤,1,5
FTBR-C-030-5060-E,TCS-30kg EX,FT,30,500x600,C,电子台秤,1,10
FTBR-S-030-5060-E,TCS-30kg EX,FT,30,500x600,S,电子台秤,1,10
FTBR-HC-030-5060-E,TCS-30kg EX,FT,30,500x600,HC,高精度电子台秤,1,5
FTBR-HS-030-5060-E,TCS-30kg EX,FT,30,500x600,HS,高精度电子台秤,1,5
FTBR-C-060-3040,TCS-60kg,FT,60,300x400,C,电子台秤,0,20
FTBR-S-060-3040,TCS-60kg,FT,60,300x400,S,电子台秤,0,20
FTBR-HC-060-3040,TCS-60kg,FT,60,300x400,HC,高精度电子台秤,0,10
FTBR-HS-060-3040,TCS-60kg,FT,60,300x400,HS,高精度电子台秤,0,10
FTBR-C-060-4050,TCS-60kg,FT,60,400x500,C,电子台秤,0,20
FTBR-S-060-4050,TCS-60kg,FT,60,400x500,S,电子台秤,0,20
FTBR-HC-060-4050,TCS-60kg,FT,60,400x500,HC,高精度电子台秤,0,10
FTBR-HS-060-4050,TCS-60kg,FT,60,400x500,HS,高精度电子台秤,0,10
FTBR-C-060-4660,TCS-60kg,FT,60,460x600,C,电子台秤,0,20
FTBR-S-060-4660,TCS-60kg,FT,60,460x600,S,电子台秤,0,20
FTBR-HC-060-4660,TCS-60kg,FT,60,460x600,HC,高精度电子台秤,0,10
FTBR-HS-060-4660,TCS-60kg,FT,60,460x600,HS,高精度电子台秤,0,10
FTBR-C-060-5060,TCS-60kg,FT,60,500x600,C,电子台秤,0,20
FTBR-S-060-5060,TCS-60kg,FT,60,500x600,S,电子台秤,0,20
FTBR-HC-060-5060,TCS-60kg,FT,60,500x600,HC,高精度电子台秤,0,10
FTBR-HS-060-5060,TCS-60kg,FT,60,500x600,HS,高精度电子台秤,0,10
FTBR-C-060-3040-E,TCS-60kg EX,FT,60,300x400,C,电子台秤,1,20
FTBR-S-060-3040-E,TCS-60kg EX,FT,60,300x400,S,电子台秤,1,20
FTBR-HC-060-3040-E,TCS-60kg EX,FT,60,300x400,HC,高精度电子台秤,1,10
FTBR-HS-060-3040-E,TCS-60kg EX,FT,60,300x400,HS,高精度电子台秤,1,10
FTBR-C-060-4050-E,TCS-60kg EX,FT,60,400x500,C,电子台秤,1,20
FTBR-S-060-4050-E,TCS-60kg EX,FT,60,400x500,S,电子台秤,1,20
FTBR-HC-060-4050-E,TCS-60kg EX,FT,60,400x500,HC,高精度电子台秤,1,10
FTBR-HS-060-4050-E,TCS-60kg EX,FT,60,400x500,HS,高精度电子台秤,1,10
FTBR-C-060-4660-E,TCS-60kg EX,FT,60,460x600,C,电子台秤,1,20
FTBR-S-060-4660-E,TCS-60kg EX,FT,60,460x600,S,电子台秤,1,20
FTBR-HC-060-4660-E,TCS-60kg EX,FT,60,460x600,HC,高精度电子台秤,1,10
FTBR-HS-060-4660-E,TCS-60kg EX,FT,60,460x600,HS,高精度电子台秤,1,10
FTBR-C-060-5060-E,TCS-60kg EX,FT,60,500x600,C,电子台秤,1,20
