family型号,capacity容量,Mtl材质,安装方式,Y值,AC准确度等级,IP防护等级,EX防爆等级,安装孔距,Seal密封方式,线制
SLB,91,17-4PH-SS,盲孔安装,11500,C3,IP67,0,25.4,胶封,4
SLB,227,17-4PH-SS,盲孔安装,11500,C3,IP67,0,25.4,胶封,4
SLB,454,17-4PH-SS,盲孔安装,11500,C3,IP67,0,25.4,胶封,4
SLB,1134,17-4PH-SS,盲孔安装,11500,C3,IP67,0,25.4,胶封,4
SLB,2268,17-4PH-SS,盲孔安装,11500,C3,IP67,0,25.4,胶封,4
SLB,3000,17-4PH-SS,盲孔安装,11500,C3,IP67,0,25.4,胶封,4
SLB,91,17-4PH-SS,盲孔安装,11500,C3,IP67,EXiaIICT6,25.4,胶封,4
SLB,227,17-4PH-SS,盲孔安装,11500,C3,IP67,EXiaIICT6,25.4,胶封,4
SLB,454,17-4PH-SS,盲孔安装,11500,C3,IP67,EXiaIICT6,25.4,胶封,4
SLB,1134,17-4PH-SS,盲孔安装,11500,C3,IP67,EXiaIICT6,25.4,胶封,4
SLB,2268,17-4PH-SS,盲孔安装,11500,C3,IP67,EXiaIICT6,25.4,胶封,4
SLB,3000,17-4PH-SS,盲孔安装,11500,C3,IP67,EXiaIICT6,25.4,胶封,4
SB14,227,17-4PH-SS,盲孔安装,11500,C3,IP68,0,25.4,激光封焊,4
SB14,227,17-4PH-SS,盲孔安装,23000,C3,IP68,0,25.4,激光封焊,4
SB14,227,17-4PH-SS,盲孔安装,23000,C6,IP68,0,25.4,激光封焊,4
SB14,454,17-4PH-SS,盲孔安装,11500,C3,IP68,0,25.4,激光封焊,4
SB14,454,17-4PH-SS,盲孔安装,23000,C3,IP68,0,25.4,激光封焊,4
SB14,454,17-4PH-SS,盲孔安装,23000,C6,IP68,0,25.4,激光封焊,4
SB14,1134,17-4PH-SS,盲孔安装,11500,C3,IP68,0,25.4,激光封焊,4
SB14,1134,17-4PH-SS,盲孔安装,23000,C3,IP68,0,25.4,激光封焊,4
SB14,1134,17-4PH-SS,盲孔安装,23000,C6,IP68,0,25.4,激光封焊,4
SB14,2268,17-4PH-SS,盲孔安装,11500,C3,IP68,0,25.4,激光封焊,4
SB14,2268,17-4PH-SS,盲孔安装,23000,C3,IP68,0,25.4,激光封焊,4
SB14,2268,17-4PH-SS,盲孔安装,23000,C6,IP68,0,25.4,激光封焊,4
SB14,3000,17-4PH-SS,盲孔安装,11500,C3,IP68,0,25.4,激光封焊,4
SB14,3000,17-4PH-SS,盲孔安装,23000,C3,IP68,0,25.4,激光封焊,4
SB14,3000,17-4PH-SS,盲孔安装,23000,C6,IP68,0,25.4,激光封焊,4
SB14,4536,17-4PH-SS,盲孔安装,11500,C3,IP68,0,38.1,激光封焊,4
SB14,4536,17-4PH-SS,盲孔安装,23000,C3,IP68,0,38.1,激光封焊,4
SB14,4536,17-4PH-SS,盲孔安装,23000,C6,IP68,0,38.1,激光封焊,4
SB14,227,17-4PH-SS,盲孔安装,11500,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,227,17-4PH-SS,盲孔安装,23000,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,227,17-4PH-SS,盲孔安装,23000,C6,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,454,17-4PH-SS,盲孔安装,11500,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,454,17-4PH-SS,盲孔安装,23000,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,454,17-4PH-SS,盲孔安装,23000,C6,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,1134,17-4PH-SS,盲孔安装,11500,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,1134,17-4PH-SS,盲孔安装,23000,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,1134,17-4PH-SS,盲孔安装,23000,C6,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,2268,17-4PH-SS,盲孔安装,11500,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,2268,17-4PH-SS,盲孔安装,23000,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,2268,17-4PH-SS,盲孔安装,23000,C6,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,3000,17-4PH-SS,盲孔安装,11500,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,3000,17-4PH-SS,盲孔安装,23000,C3,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,3000,17-4PH-SS,盲孔安装,23000,C6,IP68,EXiaIICT6,25.4,激光封焊,4
SB14,4536,17-4PH-SS,盲孔安装,11500,C3,IP68,EXiaIICT6,38.1,激光封焊,4
SB14,4536,17-4PH-SS,盲孔安装,23000,C3,IP68,EXiaIICT6,38.1,激光封焊,4
SB14,4536,17-4PH-SS,盲孔安装,23000,C6,IP68,EXiaIICT6,38.1,激光封焊,4
SB5,5099,17-4PH-SS,盲孔安装,11000,C3,IP67,0,40,胶封,4
