具体型号,型批型号,品牌,kg量程,台面尺寸,可用传感器,材质,细分品种,防爆,kg分度值,信号协议
FTPD-C-003-0606-N,SCS-0.3t,FT,300,600x600,SLB-227kg|SB14-227kg,C,护框型电子平台秤,0,0.1,A
FTPD-C-003-0606-E,SCS-0.3t EX,FT,300,600x600,SLB-227kg|SB14-227kg,C,护框型电子平台秤,1,0.1,A
FTPD-S-003-0606-N,SCS-0.3t,FT,300,600x600,SLB-227kg|SB14-227kg,S,护框型电子平台秤,0,0.1,A
FTPD-S-003-0606-E,SCS-0.3t EX,FT,300,600x600,SLB-227kg|SB14-227kg,S,护框型电子平台秤,1,0.1,A
FTPD-C-003-0808-N,SCS-0.3t,FT,300,800x800,SLB-227kg|SB14-227kg,C,护框型电子平台秤,0,0.1,A
FTPD-C-003-0808-E,SCS-0.3t EX,FT,300,800x800,SLB-227kg|SB14-227kg,C,护框型电子平台秤,1,0.1,A
FTPD-S-003-0808-N,SCS-0.3t,FT,300,800x800,SLB-227kg|SB14-227kg,S,护框型电子平台秤,0,0.1,A
FTPD-S-003-0808-E,SCS-0.3t EX,FT,300,800x800,SLB-227kg|SB14-227kg,S,护框型电子平台秤,1,0.1,A
FTPD-C-006-0606-N,SCS-0.6t,FT,600,600x600,SLB-454kg|SB14-454kg,C,护框型电子平台秤,0,0.2,A
FTPD-C-006-0606-E,SCS-0.6t EX,FT,600,600x600,SLB-454kg|SB14-454kg,C,护框型电子平台秤,1,0.2,A
FTPD-S-006-0606-N,SCS-0.6t,FT,600,600x600,SLB-454kg|SB14-454kg,S,护框型电子平台秤,0,0.2,A
FTPD-S-006-0606-E,SCS-0.6t EX,FT,600,600x600,SLB-454kg|SB14-454kg,S,护框型电子平台秤,1,0.2,A
FTPD-C-006-0808-N,SCS-0.6t,FT,600,800x800,SLB-454kg|SB14-454kg,C,护框型电子平台秤,0,0.2,A
FTPD-C-006-0808-E,SCS-0.6t EX,FT,600,800x800,SLB-454kg|SB14-454kg,C,护框型电子平台秤,1,0.2,A
FTPD-S-006-0808-N,SCS-0.6t,FT,600,800x800,SLB-454kg|SB14-454kg,S,护框型电子平台秤,0,0.2,A
FTPD-S-006-0808-E,SCS-0.6t EX,FT,600,800x800,SLB-454kg|SB14-454kg,S,护框型电子平台秤,1,0.2,A
FTPD-C-006-1010-N,SCS-0.6t,FT,600,1000x1000,SLB-454kg|SB14-454kg,C,护框型电子平台秤,0,0.2,A
FTPD-C-006-1010-E,SCS-0.6t EX,FT,600,1000x1000,SLB-454kg|SB14-454kg,C,护框型电子平台秤,1,0.2,A
FTPD-S-006-1010-N,SCS-0.6t,FT,600,1000x1000,SLB-454kg|SB14-454kg,S,护框型电子平台秤,0,0.2,A
FTPD-S-006-1010-E,SCS-0.6t EX,FT,600,1000x1000,SLB-454kg|SB14-454kg,S,护框型电子平台秤,1,0.2,A
FTPD-C-015-1010-N,SCS-1.5t,FT,1500,1000x1000,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-015-1010-E,SCS-1.5t EX,FT,1500,1000x1000,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-015-1010-N,SCS-1.5t,FT,1500,1000x1000,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-015-1010-E,SCS-1.5t EX,FT,1500,1000x1000,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-015-1212-N,SCS-1.5t,FT,1500,1200x1200,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-015-1212-E,SCS-1.5t EX,FT,1500,1200x1200,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-015-1212-N,SCS-1.5t,FT,1500,1200x1200,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-015-1212-E,SCS-1.5t EX,FT,1500,1200x1200,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-015-1515-N,SCS-1.5t,FT,1500,1500x1500,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-015-1515-E,SCS-1.5t EX,FT,1500,1500x1500,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-015-1515-N,SCS-1.5t,FT,1500,1500x1500,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-015-1515-E,SCS-1.5t EX,FT,1500,1500x1500,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-010-1010-N,SCS-1t,FT,1000,1000x1000,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-010-1010-E,SCS-1t EX,FT,1000,1000x1000,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-010-1010-N,SCS-1t,FT,1000,1000x1000,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-010-1010-E,SCS-1t EX,FT,1000,1000x1000,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-010-1212-N,SCS-1t,FT,1000,1200x1200,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-010-1212-E,SCS-1t EX,FT,1000,1200x1200,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-010-1212-N,SCS-1t,FT,1000,1200x1200,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-010-1212-E,SCS-1t EX,FT,1000,1200x1200,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-010-1515-N,SCS-1t,FT,1000,1500x1500,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-010-1515-E,SCS-1t EX,FT,1000,1500x1500,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-010-1515-N,SCS-1t,FT,1000,1500x1500,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-010-1515-E,SCS-1t EX,FT,1000,1500x1500,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-020-1010-N,SCS-2t,FT,2000,1000x1000,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-020-1010-E,SCS-2t EX,FT,2000,1000x1000,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-020-1010-N,SCS-2t,FT,2000,1000x1000,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-020-1010-E,SCS-2t EX,FT,2000,1000x1000,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-020-1212-N,SCS-2t,FT,2000,1200x1200,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-020-1212-E,SCS-2t EX,FT,2000,1200x1200,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-020-1212-N,SCS-2t,FT,2000,1200x1200,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-020-1212-E,SCS-2t EX,FT,2000,1200x1200,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-020-1515-N,SCS-2t,FT,2000,1500x1500,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,0,1,A
FTPD-C-020-1515-E,SCS-2t EX,FT,2000,1500x1500,SLB-1134kg|SB14-1134kg,C,护框型电子平台秤,1,1,A
FTPD-S-020-1515-N,SCS-2t,FT,2000,1500x1500,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,0,1,A
FTPD-S-020-1515-E,SCS-2t EX,FT,2000,1500x1500,SLB-1134kg|SB14-1134kg,S,护框型电子平台秤,1,1,A
FTPD-C-030-1212-N,SCS-3t,FT,3000,1200x1200,SLB-2268kg|SB14-2268kg,C,护框型电子平台秤,0,1,A
FTPD-C-030-1212-E,SCS-3t EX,FT,3000,1200x1200,SLB-2268kg|SB14-2268kg,C,护框型电子平台秤,1,1,A
FTPD-S-030-1212-N,SCS-3t,FT,3000,1200x1200,SLB-2268kg|SB14-2268kg,S,护框型电子平台秤,0,1,A
FTPD-S-030-1212-E,SCS-3t EX,FT,3000,1200x1200,SLB-2268kg|SB14-2268kg,S,护框型电子平台秤,1,1,A
FTPD-C-030-1515-N,SCS-3t,FT,3000,1500x1500,SLB-2268kg|SB14-2268kg,C,护框型电子平台秤,0,1,A
FTPD-C-030-1515-E,SCS-3t EX,FT,3000,1500x1500,SLB-2268kg|SB14-2268kg,C,护框型电子平台秤,1,1,A
FTPD-S-030-1515-N,SCS-3t,FT,3000,1500x1500,SLB-2268kg|SB14-2268kg,S,护框型电子平台秤,0,1,A
FTPD-S-030-1515-E,SCS-3t EX,FT,3000,1500x1500,SLB-2268kg|SB14-2268kg,S,护框型电子平台秤,1,1,A
FTPD-C-030-2020-N,SCS-3t,FT,3000,2000x2000,SLB-2268kg|SB14-2268kg,C,护框型电子平台秤,0,1,A
FTPD-C-030-2020-E,SCS-3t EX,FT,3000,2000x2000,SLB-2268kg|SB14-2268kg,C,护框型电子平台秤,1,1,A
FTPD-S-030-2020-N,SCS-3t,FT,3000,2000x2000,SLB-2268kg|SB14-2268kg,S,护框型电子平台秤,0,1,A
FTPD-S-030-2020-E,SCS-3t EX,FT,3000,2000x2000,SLB-2268kg|SB14-2268kg,S,护框型电子平台秤,1,1,A
FTPD-C-060-2020-N,SCS-6t,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,C,护框型电子平台秤,0,2,A
FTPD-C-060-2020-E,SCS-6t EX,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,C,护框型电子平台秤,1,2,A
FTPD-S-060-2020-N,SCS-6t,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,S,护框型电子平台秤,0,2,A
FTPD-S-060-2020-E,SCS-6t EX,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,S,护框型电子平台秤,1,2,A
FTPD-CS-003-0606-N,SCS-0.3t,FT,300,600x600,SLB-227kg|SB14-227kg,CS,护框型电子平台秤,0,0.1,A
FTPD-CS-003-0606-E,SCS-0.3t EX,FT,300,600x600,SLB-227kg|SB14-227kg,CS,护框型电子平台秤,1,0.1,A
FTPD-CS-003-0808-N,SCS-0.3t,FT,300,800x800,SLB-227kg|SB14-227kg,CS,护框型电子平台秤,0,0.1,A
FTPD-CS-003-0808-E,SCS-0.3t EX,FT,300,800x800,SLB-227kg|SB14-227kg,CS,护框型电子平台秤,1,0.1,A
FTPD-CS-006-0606-N,SCS-0.6t,FT,600,600x600,SLB-454kg|SB14-454kg,CS,护框型电子平台秤,0,0.2,A
FTPD-CS-006-0606-E,SCS-0.6t EX,FT,600,600x600,SLB-454kg|SB14-454kg,CS,护框型电子平台秤,1,0.2,A
FTPD-CS-006-0808-N,SCS-0.6t,FT,600,800x800,SLB-454kg|SB14-454kg,CS,护框型电子平台秤,0,0.2,A
FTPD-CS-006-0808-E,SCS-0.6t EX,FT,600,800x800,SLB-454kg|SB14-454kg,CS,护框型电子平台秤,1,0.2,A
FTPD-CS-006-1010-N,SCS-0.6t,FT,600,1000x1000,SLB-454kg|SB14-454kg,CS,护框型电子平台秤,0,0.2,A
FTPD-CS-006-1010-E,SCS-0.6t EX,FT,600,1000x1000,SLB-454kg|SB14-454kg,CS,护框型电子平台秤,1,0.2,A
FTPD-CS-015-1010-N,SCS-1.5t,FT,1500,1000x1000,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,0,1,A
FTPD-CS-015-1010-E,SCS-1.5t EX,FT,1500,1000x1000,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,1,1,A
FTPD-CS-015-1212-N,SCS-1.5t,FT,1500,1200x1200,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,0,1,A
FTPD-CS-015-1212-E,SCS-1.5t EX,FT,1500,1200x1200,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,1,1,A
FTPD-CS-015-1515-N,SCS-1.5t,FT,1500,1500x1500,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,0,1,A
FTPD-CS-015-1515-E,SCS-1.5t EX,FT,1500,1500x1500,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,1,1,A
FTPD-CS-010-1010-N,SCS-1t,FT,1000,1000x1000,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,0,1,A
FTPD-CS-010-1010-E,SCS-1t EX,FT,1000,1000x1000,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,1,1,A
FTPD-CS-010-1212-N,SCS-1t,FT,1000,1200x1200,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,0,1,A
FTPD-CS-010-1212-E,SCS-1t EX,FT,1000,1200x1200,SLB-1134kg|SB14-1134kg,CS,护框型电子平台秤,1,1,A
