module模块型号,mtl模块材质,sag拉杆,模块孔距,适用传感器,过渡板,防爆等级,品牌
52-30M,CS,1,25.4,SLB|SB14,3t,0,FT
52-30M,CS,1,38.1,SB14,4.5t,0,FT
52-30M,CS,1,40,SB5,5t,0,FT
52-30M,SS,1,25.4,SLB|SB14,3t,0,FT
52-30M,SS,1,38.1,SB14,4.5t,0,FT
52-30M,SS,1,40,SB5,5t,0,FT
52-30M,CS,1,25.4,SLB|SB14,3t,IICT6,FT
52-30M,CS,1,38.1,SB14,4.5t,IICT6,FT
52-30M,CS,1,40,SB5,5t,IICT6,FT
52-30M,SS,1,25.4,SLB|SB14,3t,IICT6,FT
52-30M,SS,1,38.1,SB14,4.5t,IICT6,FT
52-30M,SS,1,40,SB5,5t,IICT6,FT
55-30,CS,0,89,RC3,22.5t,0,FT
55-30,CS,0,140,RC3,22.5t,0,FT
55-30,CS,0,150,RC3,22.5t,0,FT
55-30,CS,0,178,RC3,22.5t,0,FT
55-30,SS,0,89,RC3,22.5t,0,FT
55-30,SS,0,140,RC3,22.5t,0,FT
55-30,SS,0,150,RC3,22.5t,0,FT
55-30,SS,0,178,RC3,22.5t,0,FT
55-30,CS,0,89,RC3,22.5t,IICT6,FT
55-30,CS,0,140,RC3,22.5t,IICT6,FT
55-30,CS,0,150,RC3,22.5t,IICT6,FT
55-30,CS,0,178,RC3,22.5t,IICT6,FT
55-30,SS,0,89,RC3,22.5t,IICT6,FT
55-30,SS,0,140,RC3,22.5t,IICT6,FT
55-30,SS,0,150,RC3,22.5t,IICT6,FT
55-30,SS,0,178,RC3,22.5t,IICT6,FT
52-28,CS,0,18,SB6,200kg,0,FT
52-28,SS,0,18,SB6,200kg,0,FT
52-28,CS,0,18,SB6,200kg,IICT6,FT
52-28,SS,0,18,SB6,200kg,IICT6,FT
52-20,CS,1,18,SB8,500kg,0,FT
52-20,SS,1,18,SB8,500kg,0,FT
52-20,CS,1,18,SB8,500kg,IICT6,FT
52-20,SS,1,18,SB8,500kg,IICT6,FT
M20,C,1,18,AWC,500kg,0,AW
M20,S,1,18,AWC,500kg,0,AW
M20,C,1,18,AWC,500kg,IICT6,AW
M20,S,1,18,AWC,500kg,IICT6,AW
M30,C,1,25.4,AWB,3t,0,AW
M30,S,1,25.4,AWBS,3t,0,AW
M30,C,1,25.4,AWB,3t,IICT6,AW
M30,S,1,25.4,AWBS,3t,IICT6,AW
M30,C,1,38.1,AWB,4.5t,0,AW
M30,S,1,38.1,AWBS,4.5t,0,AW
M30,C,1,38.1,AWB,4.5t,IICT6,AW
M30,S,1,38.1,AWBS,4.5t,IICT6,AW
M50,C,1,89,AWD,22.5t,0,AW
M50,C,1,140,AWD,22.5t,0,AW
M50,C,1,150,AWD,22.5t,0,AW
M50,C,1,178,AWD,22.5t,0,AW
M50,S,1,89,AWD,22.5t,0,AW
M50,S,1,140,AWD,22.5t,0,AW
M50,S,1,150,AWD,22.5t,0,AW
M50,S,1,178,AWD,22.5t,0,AW
M50,C,1,89,AWD,22.5t,IICT6,AW
M50,C,1,140,AWD,22.5t,IICT6,AW
M50,C,1,150,AWD,22.5t,IICT6,AW
M50,C,1,178,AWD,22.5t,IICT6,AW
M50,S,1,89,AWD,22.5t,IICT6,AW
M50,S,1,140,AWD,22.5t,IICT6,AW
M50,S,1,150,AWD,22.5t,IICT6,AW
M50,S,1,178,AWD,22.5t,IICT6,AW
