业务类型,品牌,品种名称,基础family,衍生family,备注
平台秤,FT,单层平台秤,FTPD,FTPE,仅替换family段，材质/量程/台面不变
平台秤,AW,单层平台秤,AWPD,AWPE,
平台秤,FT,移动式平台秤,FTPD,FTPY,
平台秤,AW,移动式平台秤,AWPD,AWPY,
平台秤,FT,超低平台秤,FTPD,FTPL,
平台秤,AW,超低平台秤,AWPD,AWPF,
平台秤,FT,可掀起超低平台秤,FTPD,FTBL,
平台秤,AW,可掀起超低平台秤,AWPD,AWPL,
平台秤,FT,钢瓶秤,FTPD,FTPC,
平台秤,AW,钢瓶秤,AWPD,AWPC,
平台秤,FT,缓冲秤,FTPD,FTPB,
平台秤,AW,缓冲秤,AWPD,AWPB,
平台秤,FT,畜牧秤,FTPD,FTAH,
平台秤,AW,畜牧秤,AWPD,AWPM,
平台秤,AW,U型秤,AWPD,AWPU,
平台秤,AW,单轨衡,AWPD,AWPT,
平台秤,AW,条形衡,AWPD,AWPS,
平台秤,AW,叉车秤,AWPD,AWPX,
台秤,AW,三角台秤,AWBR,AWBC,
台秤,AW,移动式台秤,AWBR,AWBY,
