序号,客户名称,产品种类,归属公司
1,A,台秤,COPA A
2,B,称重模块,COPA A
3,C,称重模块,COPA A
4,D,称重模块、台秤、平台秤、汽车衡,COPA A
5,E,称重模块、平台秤,COPA A
6,F,称重模块、平台秤、汽车衡,COPA A
7,G,称重模块、灌装机,COPA A
8,H,称重模块、称重传感器,COPA A
9,I,称重模块,COPA A
10,J,称重模块、平台秤、灌装秤,COPA A
11,K,称重模块、台秤、平台秤,COPA A
12,L,称重模块、汽车衡,COPA A
13,M,称重模块、平台秤,COPA A
14,N,称重模块、平台秤,COPA A
15,O,称重模块、平台秤,COPA A
16,P,称重模块、台秤、平台秤,COPA A
17,Q,称重模块,COPA A
18,R,称重模块,COPA A
19,S,称重模块、平台秤、汽车衡,COPA A
20,T,称重模块、台秤、平台秤,COPA A
21,U,称重模块、平台秤、汽车衡,COPA A
22,V,称重模块,COPA A
23,W,称重模块,COPA A
24,X,称重模块,COPA A
25,Y,称重模块,COPA A
26,Z,称重模块、平台秤,COPA A
27,AA,称重仪表,COPA A
28,AB,称重模块、平台秤、汽车衡,COPA A
29,AC,称重模块、平台秤、汽车衡,COPA A
30,AD,称重模块、平台秤、汽车衡,COPA A
31,AE,称重模块、平台秤,COPA A
32,AF,称重模块、平台秤
33,AG,称重模块、平台秤
34,AH,称重模块、平台秤
35,AI,称重模块、平台秤
36,AJ,称重模块、平台秤、灌装秤、汽车衡,COPA A
37,AK,称重模块、平台秤、灌装秤、汽车衡,COPA A
38,AL,称重模块、台秤、平台秤
39,AM,称重模块、台秤、平台秤
40,AN,称重模块、台秤、平台秤,COPA A
41,AO,称重模块、台秤、平台秤
42,AP,称重模块、平台秤、汽车衡
43,AQ,称重模块、平台秤、灌装秤,COPA A
44,AR,称重模块、平台秤
45,AS,称重模块
46,AT,称重模块,COPA A
47,AU,称重模块,COPA A
48,AV,称重模块,COPA A
49,AT,称重模块,COPA A
50,AW,称重模块,COPA A
51,AX,称重模块、台秤、平台秤,COPA A
52,AY,称重模块、台秤、平台秤、灌装秤,COPA A
53,AZ,称重模块、台秤、平台秤,COPA A
54,BA,称重模块、台秤、平台秤
55,BB,称重模块、台秤、平台秤,COPA A
56,BC,称重模块,COPA A
57,BD,称重模块、台秤、平台秤,COPA A
58,BE,称重模块、台秤、平台秤
59,BF,称重模块
60,BG,称重模块、台秤、平台秤,COPA A
61,BH,灌装秤
62,BI,台秤、平台秤
63,BJ,称重模块、台秤、平台秤
64,BK,称重模块、台秤、平台秤
65,BL,称重模块、台秤、平台秤
66,BM,称重模块
67,BN,称重模块,COPA A
68,BO,称重模块、平台秤、汽车衡、灌装秤,COPA A
69,BP,称重模块、平台秤、汽车衡、灌装秤,COPA A
70,BQ,汽车衡、皮带秤,COPA A
71,BR,称重模块、台秤、平台秤,COPA A
72,BS,称重模块
73,BT,称重模块
74,BU,称重模块、台秤、平台秤
75,BV,称重模块
76,BW,称重模块
77,BX,称重模块,COPA A
78,BY,称重模块
79,BZ,称重模块
80,CA,称重模块、台秤、平台秤
81,CB,称重模块
82,AN,称重模块、平台秤,COPA A
83,CC,称重模块、平台秤
84,CD,称重模块、平台秤、汽车衡,COPA A
85,CE,称重模块、平台秤
