1、称重传感器
引用标准,GB/T7551-2008
GBT/191 -2008,包装储运图示标志
GB 3836.**-2021,国家相关防爆规范
GB/T2423.3,电工电子产品环境试验
GB/T2423.4,电工电子产品基本环境试验规程
GB/T2423.2,电工电子产品环境试验 湿热试验导则
GB/T15464,仪器仪表包装通用技术条件
GB/T17626.2-2006,电磁兼容试验和测量技术,静电放电抗扰度试验,静电放电抗扰度试验
GB/T17626.3-2006,电磁兼容试验和测量技术,射频电磁场辐射抗扰度试验,射频电磁场辐射抗扰度试验
GB/T17626.4-1998,电磁兼容试验和测量技术,电快速瞬变脉冲群抗扰度试验,电快速瞬变脉冲群抗扰度试验
GB/T17626.5-1999 电磁兼容,试验和测量技术,浪涌（冲击）抗扰度试验,浪涌（冲击）抗扰度试验
GB/T17626.6-1998 电磁兼容,试验和测量技术,射频场感应的传导骚扰抗扰度试验,射频场感应的传导骚扰抗扰度试验
GB/T17626.11-1999,电磁兼容试验和测量技术,电压暂降，短时中断和电压变化抗扰度试验,电压暂降，短时中断和电压变化抗扰度试验
JIF1059-1999,测量不确定度评定与表示
JJG 669-2003,称重传感器检定规程
2、称重显示控制器
引用标准,GB/T7724-2008
GB 3836.**-2021,国家相关防爆规范
GBT/191,包装储运图示标志 GB/T191-2008
GB/T2423.37-2006,电工电子产品环境试验 第 2 部份 试验方法
GB/T2423.38-2005,电工电子产品基本环境试验规程
GB4208,外壳防护等级（IP 代码）
GB4793.1-2007,测量控制和实验室用电气设备的安全要求
GB/T14250-2008,衡器术语
GB/T23111-2008,非自动衡（OIML R76：2006，IDT）
JJG 649-2016,数字称重显示器
